gamma,mu_eta,sigma_eta2,rho_omega,sigma_nu2,epsilon,delta,avg_isr,var_log1p_isr,avg_gross_margin,gamma_OLS,rho_omega_ar1,sigma_eta2_ar1,avg_opex_sales,any_inventory_above_grid,failed,fail_code
0.8527296846913627,-1.685218360984369,0.3386597881660386,0.08456767457616811,0.0652545617667976,6.654414561313825,0.024759573347540465,271.48723281985406,0.8998405674880727,1.5806648781268988,0.19743285636679533,0.0003190434090587901,0.010080336151634811,0.14570530641579277,False,False,0
0.9163660483277264,-1.5109634505825944,0.36942901893526936,0.10221473339969753,0.16192122843346426,14.654414561313825,0.04275957334754047,,,,,,,,False,True,1
0.98000241196409,-3.321626096796629,0.40019824970450013,0.11986179222322701,0.2585878951001309,10.654414561313825,0.06075957334754046,1.1773590547982937,0.040186800669957425,1.2395965832981657,-0.6496809946255341,-0.028530000694438954,0.04553375205980319,0.02356280859834468,False,False,0
1.0436387756004537,-2.582012490319769,0.4309674804737309,0.13750885104675636,0.09747678398901982,18.654414561313825,0.07875957334754047,0.9757425146496236,0.020719915056624016,1.220818498794868,-2.1889520953570525,-0.10368331683782951,0.019369155606049886,0.04125775896482398,False,False,0
1.1072751392368172,-2.1220625053669004,0.4617367112429617,0.15515590987028577,0.19414345065568647,8.654414561313825,0.09675957334754046,0.9895765224157143,0.029118287850834115,1.3874409938195653,-1.629275214067271,-0.07405524661162949,0.030890642588202927,0.05131616497895101,False,False,0
1.170911502873181,-1.8389904333404326,0.49250594201219244,0.1728029686938152,0.2908101173223531,16.654414561313825,0.028359573347540468,,,,,,,,False,True,3
1.2345478665095446,-1.618656575632321,0.12564203668674861,0.1904500275173446,0.12969900621124203,12.654414561313825,0.04635957334754047,1.0572409611355065,0.02180429375591763,1.256458430280224,-0.5164080377950675,-0.10015828169572444,0.008415554157516521,0.05631767692777544,False,False,0
1.2981842301459081,-1.4386940563727255,0.15641126745597936,0.208097086340874,0.2263656728779087,4.654414561313825,0.06435957334754046,1.1168057527897144,0.047205588563525656,1.581948394638594,0.460673975802708,0.013798684034120628,0.0201398449911436,0.058461488017378556,False,False,0
1.3618205937822718,-1.28707418236321,0.1871804982252101,0.22574414516440344,0.03303233954457536,5.029414561313825,0.08235957334754046,0.7778334117971096,0.005214244808992941,1.5467574577314172,-2.076571136951355,-0.10625288355610672,0.00987929432642552,0.059675805437673785,False,False,0
1.4254569574186355,-2.7336070779833253,0.21794972899444087,0.24442926627166986,0.07599530250753833,13.029414561313825,0.010359573347540459,1.2551825387847197,0.02050668987501659,1.1304989734756283,-0.5770243766665326,-0.014013864055039725,0.024875891698991147,0.013243935139890192,False,False,0
1.489093321054999,-2.1540921067890886,0.2487189597636717,0.26207632509519924,0.17266196917420504,9.029414561313825,0.014679573347540463,1.4749704025085253,0.05226129684634039,1.2071553139178075,0.26334806590784443,0.006926781513624568,0.03350573905006115,0.0218093090751675,False,False,0
0.8585148086583049,-1.7755461077950745,0.2794881905329024,0.27972338391872864,0.2693286358408717,17.029414561313825,0.032679573347540465,,,,,,,,False,True,1
0.9221511722946685,-1.537332726745318,0.3102574213021333,0.29737044274225805,0.10821752472976054,7.029414561313825,0.050679573347540474,1.209564190189756,0.06966761385821199,1.4358808046655587,-0.46787378331848906,-0.04357146671196577,0.0130585814751342,0.10102876129758194,False,False,0
0.9857875359310322,-1.9416161288040379,0.34102665207136407,0.015017501565787494,0.20488419139642722,15.029414561313825,0.06867957334754046,3.8420635086411257,0.34888537941637193,1.3645775451392277,0.30519027957130823,-0.00011278325682953321,0.01693061075866796,0.11026118094344453,False,False,0
1.0494238995673957,-1.7346080069288732,0.37179588284059484,0.03266456038931691,0.011550858063093847,11.029414561313825,0.08667957334754046,1.0382116547576858,0.07776270350699875,1.4075056392791947,-0.04653179090912079,-0.00822434911534724,0.016459886347854093,0.1051924491736154,False,False,0
1.1130602632037594,-1.5594853663184234,0.4025651136098255,0.050311619212846326,0.1404397469519828,19.029414561313825,0.018279573347540462,4.140743093824501,0.5101465965341953,1.2508872494904222,0.49557245793044513,-0.005058650339875931,0.012328960734310293,0.08674880477765622,False,False,0
1.176696626840123,-3.246287231775966,0.43333434437905627,0.06795867803637574,0.23710641361864943,6.029414561313825,0.036279573347540464,1.3826325849303112,0.059955134723225716,1.3266858057525512,0.4382308687383239,-0.002608254119860912,0.050173918713337984,0.020891475942796063,False,False,0
1.2403329904764866,-2.6058010733403663,0.46410357514828715,0.08560573685990515,0.04377308028531608,14.029414561313825,0.05427957334754047,0.9662557403079302,0.009585479074287251,1.2042090384356587,-2.947673365574252,-0.07492840513363126,0.021827583039892587,0.030404899642515797,False,False,0
1.3039693541128503,-2.1705600295452783,0.4948728059175179,0.10325279568343457,0.08673604324827906,10.029414561313825,0.07227957334754047,0.9616367829899399,0.014942126742364103,1.2945391526811405,-2.256830785079571,-0.08600262418338245,0.026799077872602457,0.036839022008524076,False,False,0
