table_number,table_title,2012_naics_code,data_item,kind_of_business,type_of_operation,year,estimate_value,estimate_flag
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2009,1528696,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2010,6063081,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2010,4339199,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2010,1723882,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2011,6857633,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2011,4887628,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2011,1970005,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2012,7303417,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2012,5211528,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2012,2091889,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2013,7580962,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2013,5401465,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2013,2179497,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2014,7873529,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2014,5623993,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2014,2249536,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2015,7536760,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2015,5379327,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2015,2157433,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2016,7507129,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2016,5336543,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2016,2170586,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2017,8032209,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2017,5700968,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2017,2331241,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2018,8630993,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2018,6105211,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2018,2525782,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2019,8611916,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2019,6083737,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2019,2528179,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2020,8042834,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2020,5811238,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2020,2231596,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2021,9693362,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2021,7001704,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2021,2691658,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2022,11382334,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2022,8056099,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2022,3326235,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",1992,861182,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",1993,939945,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",1994,1037638,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",1995,1141701,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",1996,1190342,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",1997,1256384,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",1998,1306545,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",1999,1406371,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2000,1486673,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2001,1422195,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2002,2156356,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2002,1421503,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2002,734853,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2003,2207796,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2003,1466158,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2003,741638,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2004,2484106,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2004,1689588,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2004,794518,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2005,2649437,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2005,1830347,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2005,819090,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2006,2829047,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2006,2005139,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2006,823908,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2007,2907230,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2007,2101969,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2007,805261,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2008,2842345,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2008,2127382,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2008,714963,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2009,2333359,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2009,1746786,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2009,586573,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2010,2662073,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2010,2001087,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2010,660986,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Merchant Wholesalers,2011,2950755,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,"Merchant Wholesalers, except manufacturers' sales branches and offices",2011,2232235,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,423,Sales,Durable Goods,Manufacturers' sales branches and offices,2011,718520,
