table_number,table_title,2012_naics_code,data_item,kind_of_business,type_of_operation,year,estimate_value,estimate_flag
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Merchant Wholesalers,2014,36742,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions","Merchant Wholesalers, except manufacturers' sales branches and offices",2014,35628,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Manufacturers' sales branches and offices,2014,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Merchant Wholesalers,2015,37809,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions","Merchant Wholesalers, except manufacturers' sales branches and offices",2015,36776,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Manufacturers' sales branches and offices,2015,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Merchant Wholesalers,2016,38733,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions","Merchant Wholesalers, except manufacturers' sales branches and offices",2016,37773,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Manufacturers' sales branches and offices,2016,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Merchant Wholesalers,2017,39564,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions","Merchant Wholesalers, except manufacturers' sales branches and offices",2017,38696,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Manufacturers' sales branches and offices,2017,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Merchant Wholesalers,2018,40128,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions","Merchant Wholesalers, except manufacturers' sales branches and offices",2018,39262,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Manufacturers' sales branches and offices,2018,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Merchant Wholesalers,2019,41335,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions","Merchant Wholesalers, except manufacturers' sales branches and offices",2019,40475,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Manufacturers' sales branches and offices,2019,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Merchant Wholesalers,2020,35912,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions","Merchant Wholesalers, except manufacturers' sales branches and offices",2020,35144,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Manufacturers' sales branches and offices,2020,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Merchant Wholesalers,2021,44528,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions","Merchant Wholesalers, except manufacturers' sales branches and offices",2021,43743,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Manufacturers' sales branches and offices,2021,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Merchant Wholesalers,2022,48060,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions","Merchant Wholesalers, except manufacturers' sales branches and offices",2022,47227,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4243,E-commerce,"Apparel, Piece Goods, and Notions",Manufacturers' sales branches and offices,2022,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",1998,10957,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",1999,13494,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2000,16882,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2001,22774,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2002,60281,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2002,28441,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2002,31840,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2003,79053,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2003,43719,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2003,35334,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2004,88784,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2004,50577,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2004,38207,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2005,112064,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2005,57281,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2005,54783,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2006,122965,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2006,59354,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2006,63611,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2007,142739,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2007,67502,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2007,75237,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2008,162307,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2008,76144,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2008,86163,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2009,184287,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2009,88254,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2009,96033,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2010,204939,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2010,96887,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2010,108052,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2011,229214,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2011,110790,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2011,118424,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2012,251489,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2012,125251,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2012,126238,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2013,270076,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2013,141720,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2013,128356,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2014,296097,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2014,163974,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2014,132123,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2015,312433,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2015,177726,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2015,134707,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2016,319350,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2016,180077,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2016,139273,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2017,327703,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2017,189303,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2017,138400,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2018,347035,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2018,200107,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2018,146928,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2019,369013,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2019,217196,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2019,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2020,375642,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2020,221566,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2020,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2021,397308,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2021,242879,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2021,154429,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Merchant Wholesalers,2022,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2022,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4244,E-commerce,Grocery and Related Products,Manufacturers' sales branches and offices,2022,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",1998,2570,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",1999,,D
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2000,3500,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2001,3712,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2002,4336,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2002,4336,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2003,4678,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2003,4678,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2004,5697,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2004,5697,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2005,5967,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2005,5967,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2006,6577,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2006,6577,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2007,9832,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2007,9832,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2008,12600,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2008,12600,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2009,13079,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2009,13079,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2010,15657,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2010,15657,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2011,17117,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2011,17117,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2012,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2012,,S
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2013,18301,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2013,18301,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2014,18128,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2014,18128,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2015,15381,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2015,15381,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2016,15964,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2016,15964,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2017,15591,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2017,15591,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2018,14669,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2018,14669,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2019,12777,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2019,12777,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2020,13113,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2020,13113,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2021,17226,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2021,17226,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,Merchant Wholesalers,2022,21770,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4245,E-commerce,Farm Product Raw Materials,"Merchant Wholesalers, except manufacturers' sales branches and offices",2022,21770,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4246,E-commerce,Chemicals and Allied Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",1998,,D
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4246,E-commerce,Chemicals and Allied Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",1999,,D
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4246,E-commerce,Chemicals and Allied Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2000,,D
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4246,E-commerce,Chemicals and Allied Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2001,,D
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4246,E-commerce,Chemicals and Allied Products,Merchant Wholesalers,2002,,D
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4246,E-commerce,Chemicals and Allied Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2002,,D
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4246,E-commerce,Chemicals and Allied Products,Manufacturers' sales branches and offices,2002,7283,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4246,E-commerce,Chemicals and Allied Products,Merchant Wholesalers,2003,,D
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4246,E-commerce,Chemicals and Allied Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2003,,D
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4246,E-commerce,Chemicals and Allied Products,Manufacturers' sales branches and offices,2003,8483,
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4246,E-commerce,Chemicals and Allied Products,Merchant Wholesalers,2004,,D
2,Table 2. Estimated E-Commerce Sales of U.S. Merchant Wholesalers: 1998 through 2022,4246,E-commerce,Chemicals and Allied Products,"Merchant Wholesalers, except manufacturers' sales branches and offices",2004,,D
